Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
4/7/18,Wednesday,Rally,Rally,10715,10777.15,10677.75,10769.9,0.51,0.58,-0.35,0.14
5/7/18,Thursday,Choppy,Choppy,10786.05,10786.05,10726.25,10749.75,-0.34,0.00,-0.55,0.15
6/7/18,Friday,Rally-Crash,Rally-Crash,10744.15,10816.35,10735.05,10772.65,0.27,0.67,-0.08,-0.05
9/7/18,Monday,Rally,Crash-Rally,10838.3,10860.35,10807.15,10852.9,0.13,0.20,-0.29,0.61
10/7/18,Tuesday,Rally,Rally,10902.75,10956.9,10876.65,10947.25,0.41,0.50,-0.24,0.46
11/7/18,Wednesday,Choppy,Choppy,10956.4,10976.65,10923,10948.3,-0.07,0.18,-0.30,0.08
12/7/18,Thursday,Rally-Crash,Rally-Crash,11006.95,11078.3,10999.65,11023.2,0.15,0.65,-0.07,0.54
13/7/18,Friday,Crash,Crash,11056.9,11071.35,10999.75,11018.9,-0.34,0.13,-0.52,0.31
16/7/18,Monday,Crash,Crash,11018.95,11019.5,10926.25,10936.85,-0.75,0.00,-0.84,0.00
17/7/18,Tuesday,Rally,Rally,10939.65,11018.5,10925.6,11008.05,0.63,0.72,-0.13,0.03
18/7/18,Wednesday,Crash,Crash,11060.2,11076.2,10956.3,10980.45,-0.72,0.14,-0.94,0.47
19/7/18,Thursday,Choppy,Choppy,10999.5,11006.5,10935.45,10957.1,-0.39,0.06,-0.58,0.17
20/7/18,Friday,Rally,Rally,10963.5,11030.25,10946.2,11010.2,0.43,0.61,-0.16,0.06
23/7/18,Monday,Rally,Flat-Rally,11019.85,11093.4,11010.95,11084.75,0.59,0.67,-0.08,0.09
24/7/18,Tuesday,Choppy,Choppy,11109,11143.4,11092.5,11134.3,0.23,0.31,-0.15,0.22
25/7/18,Wednesday,Choppy,Choppy,11148.4,11157.15,11113.25,11132,-0.15,0.08,-0.32,0.13
26/7/18,Thursday,Choppy,Choppy,11132.95,11185.85,11125.7,11167.3,0.31,0.48,-0.07,0.01
27/7/18,Friday,Rally,Rally,11232.75,11283.4,11210.25,11278.35,0.41,0.45,-0.20,0.59
30/7/18,Monday,Rally,Crash-Rally,11296.65,11328.1,11261.45,11319.55,0.20,0.28,-0.31,0.16
31/7/18,Tuesday,Rally,Rally-Flat,11311.05,11366,11267.75,11356.5,0.40,0.49,-0.38,-0.08
1/8/18,Wednesday,Crash,Crash,11359.8,11390.55,11313.55,11346.2,-0.12,0.27,-0.41,0.03
2/8/18,Thursday,Crash,Crash,11328.9,11328.9,11234.95,11244.7,-0.74,0.00,-0.83,-0.15
3/8/18,Friday,Rally,Rally,11297.8,11368,11294.55,11360.8,0.56,0.62,-0.03,0.47
6/8/18,Monday,Crash,Crash,11401.5,11427.65,11370.6,11387.1,-0.13,0.23,-0.27,0.36
7/8/18,Tuesday,Crash-Rally,Crash-Rally,11423.15,11428.95,11359.7,11389.45,-0.30,0.05,-0.56,0.32
8/8/18,Wednesday,Rally,Rally,11412.5,11459.95,11379.3,11450,0.33,0.42,-0.29,0.20
9/8/18,Thursday,Choppy,Choppy,11493.25,11495.2,11454.1,11470.7,-0.20,0.02,-0.34,0.38
10/8/18,Friday,Crash,Crash,11474.95,11478.75,11419.65,11429.5,-0.40,0.03,-0.48,0.04
13/8/18,Monday,Rally-Crash,Rally-Crash,11369.6,11406.3,11340.3,11355.75,-0.12,0.32,-0.26,-0.52
14/8/18,Tuesday,Rally,Rally,11381.7,11452.45,11370.8,11435.1,0.47,0.62,-0.10,0.23
16/8/18,Thursday,Rally-Crash,Rally-Crash,11397.15,11449.85,11366.25,11385.05,-0.11,0.46,-0.27,-0.33
17/8/18,Friday,Rally,Rally,11437.15,11486.45,11431.8,11470.75,0.29,0.43,-0.05,0.46
20/8/18,Monday,Rally,Rally,11502.1,11565.3,11499.65,11551.75,0.43,0.55,-0.02,0.27
21/8/18,Tuesday,Choppy,Choppy,11576.2,11581.75,11539.6,11570.9,-0.05,0.05,-0.32,0.21
23/8/18,Thursday,Crash-Rally,Crash-Rally,11620.7,11620.7,11546.7,11582.75,-0.33,0.00,-0.64,0.43
24/8/18,Friday,Crash,Crash,11566.6,11604.6,11532,11557.1,-0.08,0.33,-0.30,-0.14
27/8/18,Monday,Rally,Rally,11605.85,11700.95,11595.6,11691.95,0.74,0.82,-0.09,0.42
28/8/18,Tuesday,Crash-Rally,Crash-Rally,11731.95,11760.2,11710.5,11738.5,0.06,0.24,-0.18,0.34
29/8/18,Wednesday,Crash,Crash,11744.95,11753.2,11678.85,11691.9,-0.45,0.07,-0.56,0.05
30/8/18,Thursday,Crash-Rally,Crash-Rally,11694.75,11698.8,11639.7,11676.8,-0.15,0.03,-0.47,0.02
31/8/18,Friday,Rally-Crash,Rally-Crash,11675.85,11727.65,11640.1,11680.5,0.04,0.44,-0.31,-0.01
3/9/18,Monday,Crash,Crash,11751.8,11751.8,11567.4,11582.35,-1.44,0.00,-1.57,0.61
